Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,event_label,event_name,event_type,ranking_label,age_category,gender,WIND,mark_details
65.0,38:50,Aleksandr YARGUNKIN,06 JAN 1981,RUS,1,Podolsk (RUS),09 MAY 2015,1178.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
68.0,38:51,Hao XU,06 FEB 1999,CHN,1,Wuzhong (CHN),15 DEC 2020,1178.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
68.0,38:51,Kewen LI,07 MAR 1999,CHN,4,Wuzhong (CHN),15 DEC 2020,1178.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
70.0,38:52,Ivan TROTSKI,27 MAY 1976,BLR,2,Hildesheim (GER),13 SEP 2003,1177.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
70.0,38:52,Ilya MARKOV,19 JUN 1972,RUS,1,Kraków (POL),17 SEP 2005,1177.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
72.0,38:54,Aleksandr YARGUNKIN,06 JAN 1981,RUS,1,Klimovsk (RUS),14 MAY 2006,1175.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
72.0,38:54,Igor YEROKHIN,04 SEP 1985,RUS,3,Saransk (RUS),10 JUN 2006,1175.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
74.0,38:55,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,Madrid (ESP),01 JUN 2003,1175.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
74.0,38:55,Ivan TROTSKI,27 MAY 1976,BLR,2,Kraków (POL),14 JUN 2003,1175.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
74.0,38:55,Erik TYSSE,04 DEC 1980,NOR,1,Søfteland (NOR),26 MAR 2006,1175.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
77.0,38:56,Francesco FORTUNATO,13 DEC 1994,ITA,1,Madrid (ESP),30 APR 2023,1174.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
78.0,38:57,Aleksandr YARGUNKIN,06 JAN 1981,RUS,4,Saransk (RUS),19 SEP 2009,1173.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
78.0,38:57,Tianlei LI,23 SEP 1990,CHN,1f2,Beijing (CHN),18 SEP 2010,1173.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
80.0,38:58,Viktor BURAYEV,23 AUG 1982,RUS,1,Saransk (RUS),21 JUN 2003,1173.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
81.0,38:59,Robert KORZENIOWSKI,30 JUL 1968,POL,2,Madrid (ESP),01 JUN 2003,1172.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
81.0,38:59,Erik TYSSE,04 DEC 1980,NOR,2,Kraków (POL),17 SEP 2005,1172.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
81.0,38:59,Chris ERICKSON,01 DEC 1981,AUS,11,Beijing (CHN),18 SEP 2010,1172.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
81.0,38:59,Veli-Matti PARTANEN,28 OCT 1991,FIN,1,Tuusula (FIN),14 APR 2012,1172.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
85.0,39:00,Nikolay MATVEYEV,15 JAN 1955,URS,,Minsk (URS),20 MAY 1980,1171.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
85.0,39:00,Yafei CHU,09 MAY 1988,CHN,1,Xi'an (CHN),21 OCT 2006,1171.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
85.0,39:00,Artem SELIN,04 JAN 2001,RUS,3,Voronovo (RUS),30 APR 2023,1171.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
88.0,39:01,Ilya MARKOV,19 JUN 1972,RUS,4,Kraków (POL),08 JUN 2002,1170.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
88.0,39:01,Aigars FADEJEVS,27 DEC 1975,LAT,3,Kraków (POL),14 JUN 2003,1170.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
88.0,39:01,Grzegorz SUDOŁ,28 AUG 1978,POL,1,Zaniemsyl (POL),23 APR 2005,1170.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
91.0,39:02,Denis LANGLOIS,10 OCT 1968,FRA,6,Kraków (POL),09 JUN 2001,1170.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
91.0,39:02,Gabriel BORDIER,08 OCT 1997,FRA,1,"Stadium Municipal, Albi (FRA)",30 JUL 2023,1170.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
93.0,39:03,Christian VILLAVICENCIO,30 OCT 1972,NCA,5,Kraków (POL),08 JUN 2002,1169.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
93.0,39:03,Vladimir STANKIN,02 JAN 1974,RUS,4,Saransk (RUS),10 JUN 2006,1169.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
93.0,39:03,Hao WANG,16 AUG 1989,CHN,5,Saransk (RUS),19 SEP 2009,1169.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
93.0,39:03,Caio BONFIM,19 MAR 1991,BRA,2,Madrid (ESP),30 APR 2023,1169.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
97.0,39:04,Robert KORZENIOWSKI,30 JUL 1968,POL,1,Zaniemsyl (POL),17 APR 2004,1168.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
97.0,39:04,Sergey KOZHEVNIKOV,09 MAY 2001,RUS,1,Sochi (RUS),17 FEB 2020,1168.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
99.0,39:06,Luis Fernando LÓPEZ,03 JUN 1979,COL,3,Kraków (POL),29 MAY 2010,1167.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
99.0,39:06,João VIEIRA,20 FEB 1976,POR,12,Beijing (CHN),18 SEP 2010,1167.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Men,senior,men,,
1.0,41:04,Yelena NIKOLAYEVA,01 FEB 1966,RUS,1.0,Sochi (RUS),20 APR 1996,1228.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
2.0,41:16,Wang YAN,02 MAY 1971,CHN,1.0,Eisenhüttenstadt (GER),08 MAY 1999,1221.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
2.0,41:16,Kjersti TYSSE-PLÄTZER,18 JAN 1972,NOR,,Os (NOR),11 MAY 2002,1221.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
4.0,41:17,Irina STANKINA,25 MAR 1977,RUS,1.0,"Adler, Sochi (RUS)",09 FEB 1997,1220.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
5.0,41:24,Olimpiada IVANOVA,29 AUG 1970,RUS,2.0,"Adler, Sochi (RUS)",09 FEB 1997,1216.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
6.0,41:25,Jiayu YANG,18 FEB 1996,CHN,1.0,Wuzhong (CHN),15 DEC 2020,1215.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
7.0,41:28,Antonella PALMISANO,06 AUG 1991,ITA,1.0,Modena (ITA),18 OCT 2020,1213.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
8.0,41:29,Larisa RAMAZANOVA-KHMELNITSKAYA,23 SEP 1971,BLR,1.0,Izhevsk (RUS),04 JUN 1995,1213.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
9.0,41:30,Kerry SAXBY,02 JUN 1961,AUS,1.0,Canberra (AUS),27 AUG 1988,1212.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
9.0,41:30,Ileana SALVADOR,16 JAN 1962,ITA,1.0,Livorno (ITA),10 JUL 1993,1212.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
9.0,41:30,Olimpiada IVANOVA,29 AUG 1970,RUS,2.0,Izhevsk (RUS),04 JUN 1995,1212.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
12.0,41:31,Yelena GRUZINOVA,1967,RUS,2.0,Sochi (RUS),20 APR 1996,1211.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
13.0,41:38,Rossella GIORDANO,01 DEC 1972,ITA,1.0,Naumburg (GER),25 MAY 1997,1207.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
14.0,41:41,Yelena NIKOLAYEVA,01 FEB 1966,RUS,2.0,Naumburg (GER),25 MAY 1997,1205.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
14.0,41:41,Kjersti TYSSE-PLÄTZER,18 JAN 1972,NOR,1.0,Kraków (POL),30 MAY 2009,1205.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
16.0,41:42,Olga KANISKINA,19 JAN 1985,RUS,2.0,Kraków (POL),30 MAY 2009,1205.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
17.0,41:45,Hongyu LIU,11 JAN 1975,CHN,2.0,Eisenhüttenstadt (GER),08 MAY 1999,1203.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
18.0,41:46,Annarita SIDOTI,25 JUL 1969,ITA,1.0,Livorno (ITA),12 JUN 1994,1202.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
19.0,41:47,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1.0,Eisenhüttenstadt (GER),11 MAY 1996,1201.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
20.0,41:48,Chunxiu LI,13 AUG 1969,CHN,1.0,Beijing (CHN),08 SEP 1993,1201.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
21.0,41:49,Yelena NIKOLAYEVA,01 FEB 1966,RUS,1.0,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996,1200.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
22.0,41:50,Yelena ARSHINTSEVA,05 APR 1971,RUS,1.0,"Adler, Sochi (RUS)",11 FEB 1995,1200.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
23.0,41:51,Beate GUMMELT,04 FEB 1968,GER,2.0,Eisenhüttenstadt (GER),11 MAY 1996,1199.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
24.0,41:52,Irina STANKINA,25 MAR 1977,RUS,1.0,Poděbrady (CZE),19 APR 1997,1198.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
24.0,41:52,Tatyana MINEYEVA,10 AUG 1990,RUS,1.0,Penza (RUS),05 SEP 2009,1198.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
26.0,41:53,Tatyana SIBILEVA,17 MAY 1980,RUS,1.0,Beijing (CHN),18 SEP 2010,1198.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
27.0,41:55,Irina STANKINA,25 MAR 1977,RUS,1.0,"Adler, Sochi (RUS)",11 FEB 1995,1197.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
28.0,41:56,Elisabetta PERRONE,09 JUL 1968,ITA,2.0,Livorno (ITA),10 JUL 1993,1196.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
28.0,41:56,Yelena SAYKO,24 DEC 1967,RUS,2.0,"Adler, Sochi (RUS)",11 FEB 1996,1196.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
28.0,41:56,Larisa RAMAZANOVA-KHMELNITSKAYA,23 SEP 1971,BLR,1.0,Eisenhüttenstadt (GER),10 MAY 1997,1196.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
31.0,41:57,Hongmiao GAO,17 MAR 1974,CHN,2.0,Beijing (CHN),08 SEP 1993,1195.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
32.0,41:58,Yelena GRUZINOVA,1967,RUS,2.0,"Adler, Sochi (RUS)",11 FEB 1995,1195.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
33.0,41:59,Olimpiada IVANOVA,29 AUG 1970,RUS,2.0,Poděbrady (CZE),19 APR 1997,1194.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
33.0,41:59,Marina NOVIKOVA,01 MAR 1989,RUS,1.0,Podolsk (RUS),09 MAY 2016,1194.0,10 Kilometres Race Walk,10-kilometres-race-walk,race-walks,Senior - Women,senior,women,,
