Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,event_label,event_name,event_type,ranking_label,age_category,gender,WIND,mark_details
7.0,12.25,Ginka ZAGORCHEVA,12 APR 1958,BUL,1,Drama (GRE),08 AUG 1987,1253.0,100 Metres Hurdles,100-metres-hurdles,hurdles,Senior - Women,senior,women,1.4,
8.0,12.26,Yordanka DONKOVA,28 SEP 1961,BUL,1,Ljubljana (SLO),07 SEP 1986,1252.0,100 Metres Hurdles,100-metres-hurdles,hurdles,Senior - Women,senior,women,1.5,
8.0,12.26,Lyudmila NAROZHILENKO,21 APR 1964,RUS,1f1,Sevilla (ESP),06 JUN 1992,1252.0,100 Metres Hurdles,100-metres-hurdles,hurdles,Senior - Women,senior,women,1.7,
8.0,12.26,Brianna MCNEAL,18 AUG 1991,USA,1,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2013,1252.0,100 Metres Hurdles,100-metres-hurdles,hurdles,Senior - Women,senior,women,1.2,
1.0,2:11.96,Noah NGENY,02 NOV 1978,KEN,1,Rieti (ITA),05 SEP 1999,1250.0,1000 Metres,1000-metres,middlelong,Senior - Men,senior,men,,
2.0,2:12.18,Sebastian COE,29 SEP 1956,GBR,1,Oslo (NOR),11 JUL 1981,1245.0,1000 Metres,1000-metres,middlelong,Senior - Men,senior,men,,
3.0,2:12.66,Noah NGENY,02 NOV 1978,KEN,1,Nice (FRA),17 JUL 1999,1234.0,1000 Metres,1000-metres,middlelong,Senior - Men,senior,men,,
4.0,2:12.88,Steve CRAM,14 OCT 1960,GBR,1,Gateshead (GBR),09 AUG 1985,1229.0,1000 Metres,1000-metres,middlelong,Senior - Men,senior,men,,
5.0,2:13.08,Taoufik MAKHLOUFI,29 APR 1988,ALG,1,"Stade Raymond Petit, Tomblaine (FRA)",01 JUL 2015,1224.0,1000 Metres,1000-metres,middlelong,Senior - Men,senior,men,,
6.0,2:13.40,Sebastian COE,29 SEP 1956,GBR,1,Oslo (NOR),01 JUL 1980,1216.0,1000 Metres,1000-metres,middlelong,Senior - Men,senior,men,,
7.0,2:13.49,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016,1214.0,1000 Metres,1000-metres,middlelong,Senior - Men,senior,men,,
8.0,2:13.56,Kennedy KIMWETICH,1973,KEN,2,Nice (FRA),17 JUL 1999,1213.0,1000 Metres,1000-metres,middlelong,Senior - Men,senior,men,,
9.0,2:13.62,Abubaker KAKI,21 JUN 1989,SUD,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1211.0,1000 Metres,1000-metres,middlelong,Senior - Men,senior,men,,
10.0,2:13.73,Noureddine MORCELI,28 FEB 1970,ALG,1,Villeneuve d'Ascq (FRA),02 JUL 1993,1209.0,1000 Metres,1000-metres,middlelong,Senior - Men,senior,men,,
1.0,2:14.20,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1,"Globe Arena, Stockholm (SWE) (i)",17 FEB 2016,1274.0,1000 Metres Short Track,1000-metres-short-track,middlelong,Senior - Men,senior,men,,
2.0,2:14.96,Wilson KIPKETER,12 DEC 1972,DEN,1,Birmingham (GBR) (i),20 FEB 2000,1256.0,1000 Metres Short Track,1000-metres-short-track,middlelong,Senior - Men,senior,men,,
3.0,2:15.25,Wilson KIPKETER,12 DEC 1972,DEN,1,Stuttgart (GER) (i),06 FEB 2000,1249.0,1000 Metres Short Track,1000-metres-short-track,middlelong,Senior - Men,senior,men,,
4.0,2:15.26,Noureddine MORCELI,28 FEB 1970,ALG,1,Birmingham (GBR) (i),22 FEB 1992,1249.0,1000 Metres Short Track,1000-metres-short-track,middlelong,Senior - Men,senior,men,,
5.0,2:15.50,Kennedy KIMWETICH,1973,KEN,2,Stuttgart (GER) (i),06 FEB 2000,1243.0,1000 Metres Short Track,1000-metres-short-track,middlelong,Senior - Men,senior,men,,
6.0,2:15.62,Vénuste NIYONGABO,09 DEC 1973,BDI,1,Stockholm (SWE) (i),27 FEB 1995,1240.0,1000 Metres Short Track,1000-metres-short-track,middlelong,Senior - Men,senior,men,,
7.0,2:15.77,Abubaker KAKI,21 JUN 1989,SUD,1,Stockholm (SWE) (i),21 FEB 2008,1237.0,1000 Metres Short Track,1000-metres-short-track,middlelong,Senior - Men,senior,men,,
8.0,2:15.96,Ilham Tanui ÖZBILEN,05 MAR 1990,TUR,1,Istanbul (TUR) (i),20 FEB 2014,1232.0,1000 Metres Short Track,1000-metres-short-track,middlelong,Senior - Men,senior,men,,
9.0,2:16.15,Abubaker KAKI,21 JUN 1989,SUD,1,Gent (BEL) (i),24 FEB 2008,1228.0,1000 Metres Short Track,1000-metres-short-track,middlelong,Senior - Men,senior,men,,
10.0,2:16.16,Shane STREICH,19 SEP 1996,USA,1,"Norton Sports Center, Louisville, KY (USA) (i)",12 FEB 2022,1228.0,1000 Metres Short Track,1000-metres-short-track,middlelong,Senior - Men,senior,men,,
1.0,12.8,Aries MERRITT,24 JUL 1985,USA,1,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,1294.0,110 Metres Hurdles,110-metres-hurdles,hurdles,Senior - Men,senior,men,0.3,
2.0,12.81,Grant HOLLOWAY,19 NOV 1997,USA,1sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1292.0,110 Metres Hurdles,110-metres-hurdles,hurdles,Senior - Men,senior,men,1.8,
3.0,12.84,Devon ALLEN,12 DEC 1994,USA,1,"Icahn Stadium, New York, NY (USA)",12 JUN 2022,1286.0,110 Metres Hurdles,110-metres-hurdles,hurdles,Senior - Men,senior,men,1.6,
4.0,12.87,Dayron ROBLES,19 NOV 1986,CUB,1,Ostrava (CZE),12 JUN 2008,1280.0,110 Metres Hurdles,110-metres-hurdles,hurdles,Senior - Men,senior,men,0.9,
5.0,12.88,Xiang LIU,13 JUL 1983,CHN,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1278.0,110 Metres Hurdles,110-metres-hurdles,hurdles,Senior - Men,senior,men,1.1,
5.0,12.88,Dayron ROBLES,19 NOV 1986,CUB,1,Paris (FRA),18 JUL 2008,1278.0,110 Metres Hurdles,110-metres-hurdles,hurdles,Senior - Men,senior,men,0.5,
7.0,12.89,David OLIVER,24 APR 1982,USA,1,"Stade de France, Paris-St-Denis (FRA)",16 JUL 2010,1276.0,110 Metres Hurdles,110-metres-hurdles,hurdles,Senior - Men,senior,men,0.5,
8.0,12.9,Dominique ARNOLD,14 SEP 1973,USA,2f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1274.0,110 Metres Hurdles,110-metres-hurdles,hurdles,Senior - Men,senior,men,1.1,
8.0,12.9,David OLIVER,24 APR 1982,USA,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1274.0,110 Metres Hurdles,110-metres-hurdles,hurdles,Senior - Men,senior,men,1.6,
8.0,12.9,Omar MCLEOD,25 APR 1994,JAM,1,Kingston (JAM),24 JUN 2017,1274.0,110 Metres Hurdles,110-metres-hurdles,hurdles,Senior - Men,senior,men,0.7,
1.0,41:05,Joshua CHEPTEGEI,12 SEP 1996,UGA,1.0,Nijmegen (NED),18 NOV 2018,1248.0,15 Kilometres Road,15-kilometres,road-running,Senior - Men,senior,men,,
1.0,41:05,Jacob KIPLIMO,14 NOV 2000,UGA,1.0,Nijmegen (NED),19 NOV 2023,1248.0,15 Kilometres Road,15-kilometres,road-running,Senior - Men,senior,men,,
3.0,41:13,Leonard Patrick KOMON,10 JAN 1988,KEN,1.0,Nijmegen (NED),21 NOV 2010,1240.0,15 Kilometres Road,15-kilometres,road-running,Senior - Men,senior,men,,
4.0,41:16,Joshua CHEPTEGEI,12 SEP 1996,UGA,1.0,Nijmegen (NED),19 NOV 2017,1237.0,15 Kilometres Road,15-kilometres,road-running,Senior - Men,senior,men,,
5.0,41:29,Felix LIMO,22 AUG 1980,KEN,1.0,Nijmegen (NED),11 NOV 2001,1223.0,15 Kilometres Road,15-kilometres,road-running,Senior - Men,senior,men,,
5.0,41:29,Deriba Merga EJIGU,26 OCT 1980,ETH,,Ras Al Khaimah (UAE),20 FEB 2009,1223.0,15 Kilometres Road,15-kilometres,road-running,Senior - Men,senior,men,,
7.0,41:38,Haile GEBRSELASSIE,18 APR 1973,ETH,2.0,Nijmegen (NED),11 NOV 2001,1214.0,15 Kilometres Road,15-kilometres,road-running,Senior - Men,senior,men,,
7.0,41:38,Sileshi SIHINE,29 JAN 1983,ETH,1.0,Nijmegen (NED),21 NOV 2004,1214.0,15 Kilometres Road,15-kilometres,road-running,Senior - Men,senior,men,,
9.0,41:49,Stephen KISSA,01 DEC 1988,UGA,1.0,Nijmegen (NED),17 NOV 2019,1203.0,15 Kilometres Road,15-kilometres,road-running,Senior - Men,senior,men,,
10.0,41:51,Edwin KIPTOO,14 AUG 1993,KEN,2.0,Nijmegen (NED),17 NOV 2019,1201.0,15 Kilometres Road,15-kilometres,road-running,Senior - Men,senior,men,,
1.0,3:26.00,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stadio Olimpico, Roma (ITA)",14 JUL 1998,1302.0,1500 Metres,1500-metres,middlelong,Senior - Men,senior,men,,
2.0,3:26.12,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Bruxelles (BEL),24 AUG 2001,1301.0,1500 Metres,1500-metres,middlelong,Senior - Men,senior,men,,
3.0,3:26.34,Bernard LAGAT,12 DEC 1974,KEN,2,Bruxelles (BEL),24 AUG 2001,1297.0,1500 Metres,1500-metres,middlelong,Senior - Men,senior,men,,
4.0,3:26.45,Hicham EL GUERROUJ,14 SEP 1974,MAR,1f1,Zürich (SUI),12 AUG 1998,1296.0,1500 Metres,1500-metres,middlelong,Senior - Men,senior,men,,
5.0,3:26.69,Asbel KIPROP,30 JUN 1989,KEN,1,"Stade Louis II, Monaco (MON)",17 JUL 2015,1292.0,1500 Metres,1500-metres,middlelong,Senior - Men,senior,men,,
6.0,3:26.89,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Zürich (SUI),16 AUG 2002,1289.0,1500 Metres,1500-metres,middlelong,Senior - Men,senior,men,,
7.0,3:26.96,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Rieti (ITA),08 SEP 2002,1288.0,1500 Metres,1500-metres,middlelong,Senior - Men,senior,men,,
8.0,3:27.14,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1286.0,1500 Metres,1500-metres,middlelong,Senior - Men,senior,men,,
9.0,3:27.21,Hicham EL GUERROUJ,14 SEP 1974,MAR,1f1,Zürich (SUI),11 AUG 2000,1285.0,1500 Metres,1500-metres,middlelong,Senior - Men,senior,men,,
10.0,3:27.34,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stade Louis II, Monaco (MON)",19 JUL 2002,1283.0,1500 Metres,1500-metres,middlelong,Senior - Men,senior,men,,
1.0,3:30.60,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Arena Stade Couvert, Liévin (FRA) (i)",17 FEB 2022,1292.0,1500 Metres Short Track,1500-metres-short-track,middlelong,Senior - Men,senior,men,,
2.0,3:31.04,Samuel TEFERA,23 OCT 1999,ETH,1,"Arena Birmingham, Birmingham (GBR) (i)",16 FEB 2019,1285.0,1500 Metres Short Track,1500-metres-short-track,middlelong,Senior - Men,senior,men,,
3.0,3:31.18,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Stuttgart (GER) (i),02 FEB 1997,1283.0,1500 Metres Short Track,1500-metres-short-track,middlelong,Senior - Men,senior,men,,
4.0,3:31.25,Yomif KEJELCHA,01 AUG 1997,ETH,,"Boston, MA (USA) (i)",03 MAR 2019,1282.0,1500 Metres Short Track,1500-metres-short-track,middlelong,Senior - Men,senior,men,,
5.0,3:31.58,Yomif KEJELCHA,01 AUG 1997,ETH,2,"Arena Birmingham, Birmingham (GBR) (i)",16 FEB 2019,1277.0,1500 Metres Short Track,1500-metres-short-track,middlelong,Senior - Men,senior,men,,
6.0,3:31.76,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Stuttgart (GER) (i),01 FEB 1998,1275.0,1500 Metres Short Track,1500-metres-short-track,middlelong,Senior - Men,senior,men,,
7.0,3:31.80,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Arena Stade Couvert, Liévin (FRA) (i)",09 FEB 2021,1274.0,1500 Metres Short Track,1500-metres-short-track,middlelong,Senior - Men,senior,men,,
8.0,3:32.01,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Liévin (FRA) (i),22 FEB 1998,1271.0,1500 Metres Short Track,1500-metres-short-track,middlelong,Senior - Men,senior,men,,
9.0,3:32.11,Laban ROTICH,20 JAN 1969,KEN,2,Stuttgart (GER) (i),01 FEB 1998,1269.0,1500 Metres Short Track,1500-metres-short-track,middlelong,Senior - Men,senior,men,,
10.0,3:32.35,Oliver HOARE,29 JAN 1997,AUS,1,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",13 FEB 2021,1266.0,1500 Metres Short Track,1500-metres-short-track,middlelong,Senior - Men,senior,men,,
1.0,7:54.10,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Stade Charléty, Paris (FRA)",09 JUN 2023,1304.0,2 Miles,two-miles,middlelong,Senior - Men,senior,men,,
2.0,7:58.61,Daniel KOMEN,17 MAY 1976,KEN,1,Hechtel (BEL),19 JUL 1997,1276.0,2 Miles,two-miles,middlelong,Senior - Men,senior,men,,
3.0,7:58.91,Daniel KOMEN,17 MAY 1976,KEN,1,Sydney (AUS),28 FEB 1998,1275.0,2 Miles,two-miles,middlelong,Senior - Men,senior,men,,
4.0,8:01.08,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"FBK Stadium, Hengelo (NED)",31 MAY 1997,1262.0,2 Miles,two-miles,middlelong,Senior - Men,senior,men,,
5.0,8:01.72,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Crystal Palace, London (GBR)",07 AUG 1999,1258.0,2 Miles,two-miles,middlelong,Senior - Men,senior,men,,
6.0,8:01.86,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"FBK Stadium, Hengelo (NED)",30 MAY 1999,1257.0,2 Miles,two-miles,middlelong,Senior - Men,senior,men,,
